coin Full Name,coin Short Name,coin Index,current Price,forecasted Price,forecasted Growth,forecasted Acceleration,propability Of Forecast,data Granularity,forecast Creation Date,forecast Creation Time,forecast For Date,forecast For Time,alghorithm,type Of Similiar Days,by Growth Only Or Growth And Acceleration,past Width,future Width,count Of Actual Values
Enjin Coin,ENJ,45,0.3011936850848832,0.2990450091763885,-0.007133867723319587,-1.1635868906494053,1,24,11/8/2023 12:00 PM,12:00:00,11/11/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,1,3,2
aelf,ELF,145,0.37017259371801564,0.3890287106784862,0.05093871691331775,-1.311595274206061,1,24,11/8/2023 12:00 PM,12:00:00,11/21/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,1,13,2
Holo,_HOT,67,0.001595061189708618,0.001616778618794481,0.013615420665981093,-1.0849415055430665,1,24,11/8/2023 12:00 PM,12:00:00,11/27/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,1,19,2
Ravencoin,RVN,66,0.018224094204205694,0.018255119453517373,0.001702430253269771,-0.9696514354787186,1,24,11/8/2023 12:00 PM,12:00:00,11/28/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,1,20,2
aelf,ELF,145,0.37017259371801564,0.3926679862421314,0.060770010816230124,-1.2983261858659163,1,24,11/8/2023 12:00 PM,12:00:00,11/29/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,1,21,2
VeChainThor,VTHO,163,0.001415819915294691,0.0014018420355752493,-0.009872639569794672,-0.9484570614152985,1,24,11/8/2023 12:00 PM,12:00:00,12/1/2023 12:00 PM,12:00:00,1,similiarDays,byGrowthAndAcceleration,1,23,2
PAX Gold,PAXG,123,1942.9796932648974,1948.1505232434847,0.0026612887394095175,-1000000,1,24,11/8/2023 12:00 PM,12:00:00,11/9/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,1,13
PAX Gold,PAXG,123,1942.9796932648974,1943.7166505932046,0.0003792923471417353,-1000000,0.9230769,24,11/8/2023 12:00 PM,12:00:00,11/11/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,3,13
PAX Gold,PAXG,123,1942.9796932648974,1926.0869102702527,-0.008694266364801195,-1000000,0.84615386,24,11/8/2023 12:00 PM,12:00:00,11/12/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,4,13
PAX Gold,PAXG,123,1942.9796932648974,1921.5920885789803,-0.011007631608325408,-1000000,0.84615386,24,11/8/2023 12:00 PM,12:00:00,11/13/2023 12:00 PM,12:00:00,2,similiarDays,byGrowth,1,5,13
